title,overview,genre_id,media_type,tmdb_id,poster_path,platform_ids,vote_average,popularity,release_date,platforms
Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",10759,tv,85937,/xUfRZu2mi8jH6SzQEJGP6tjBuYj.jpg,[8],8.65,17.6718,,['Netflix']
Hunter x Hunter,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",10759,tv,46298,/i2EEr2uBvRlAwJ8d8zTG2Y19mIa.jpg,[8],8.649,53.7945,,['Netflix']
My Hero Academia,"For his entire life, Izuku has dreamed of being a hero—an ambitious goal for anyone, but an especially challenging one for a boy without superpowers. That’s right: in a world where 80% of the population has some sort of special gift, Izuku was unlucky enough to be born completely normal. But that won’t stop him from enrolling in one of the most prestigious hero academies in the world to learn what it truly means to be a hero.",10759,tv,65930,/47h1ReX6SSqwiTaz3kCC14f0vzt.jpg,[8],8.637,12.4844,,['Netflix']
Scissor Seven,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",10759,tv,79141,/rCxPTLTfcNhgD8F6VwKxfCAAbf8.jpg,[8],8.584,19.0859,,['Netflix']
Jujutsu Kaisen,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",10759,tv,95479,/fHpKWq9ayzSk8nSwqRuaAUemRKh.jpg,[8],8.579,68.6101,,['Netflix']
Delicious in Dungeon,"Dungeons, dragons... and delicious monster stew!? Adventurers foray into a cursed buried kingdom to save their friend, cooking up a storm along the way.",10759,tv,207784,/9t3DYdGxK3i4WRzKvIZwJd4kBnr.jpg,[8],8.575,19.5221,,['Netflix']
JoJo's Bizarre Adventure,"Follow the intergenerational feud between the Joestar Family and various forces of evil, the most prominent of which is Dio Brando and his followers.",10759,tv,45790,/ogAWwbh3frWtiTyyXrZaVFtqCgp.jpg,[8],8.569,39.9122,,['Netflix']
Dr. STONE,"One fateful day, all of humanity was petrified by a blinding flash of light. After several millennia, high schooler Taiju awakens and finds himself lost in a world of statues. However, he's not alone! His science-loving friend Senku's been up and running for a few months and he's got a grand plan in mind, to kickstart civilization with the power of science!",10759,tv,86031,/rocRrglJfYkglKilmFaStvo5EvS.jpg,[8],8.555,6.5155,,['Netflix']
Alchemy of Souls,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",10759,tv,135157,/q2IiPRSXPOZ6qVRj36WRAYEQyHs.jpg,[8],8.529,25.8757,,['Netflix']
Our Planet,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,10759,tv,83880,/wRSnArnQBmeUYb5GWDU595bGsBr.jpg,[8],8.528,4.6799,,['Netflix']
